date,area_type,area_name,daily_cases,cum_cases,new_deaths_28days,cum_deaths_28days,new_deaths_60days,cum_deaths_60days,new_first_episode,cum_first_episode,new_reinfections,cum_reinfections,new_virus_test,cum_virus_test,new_pcr_test,cum_pcr_test,new_lfd_test,cum_lfd_test,test_roll_pos_pct,test_roll_people,new_first_dose,cum_first_dose,new_second_dose,cum_second_dose,new_third_dose,cum_third_dose,new_admissions,cum_admissions,hospital_cases,ventilator_beds,trans_rate_min,trans_rate_max,trans_growth_min,trans_growth_max
2023-01-25,nation,England,1168.0,20517193.0,,,,,662.0,19077282.0,506.0,1439911.0,20421,539632070,6722,219996106,13699.0,319635964.0,,,324.0,43947858.0,471.0,41941470.0,618.0,33361835.0,,,5632.0,126.0,,,,
2023-01-24,nation,England,1953.0,20516025.0,,,,,1153.0,19076620.0,800.0,1439405.0,25118,539611649,10395,219989384,14723.0,319622265.0,,,309.0,43947534.0,458.0,41940999.0,589.0,33361217.0,,,5639.0,136.0,,,,
2023-01-23,nation,England,2126.0,20514072.0,22.0,180091.0,31.0,224938.0,1294.0,19075467.0,832.0,1438605.0,33248,539586531,15535,219978989,17713.0,319607542.0,,,264.0,43947225.0,419.0,41940541.0,529.0,33360628.0,617.0,954124.0,5817.0,142.0,,,,
2023-01-22,nation,England,1622.0,20511946.0,56.0,180069.0,74.0,224907.0,937.0,19074173.0,685.0,1437773.0,25804,539553283,14177,219963454,11627.0,319589829.0,,,136.0,43946961.0,302.0,41940122.0,222.0,33360099.0,590.0,953507.0,5697.0,146.0,,,,
2023-01-21,nation,England,1304.0,20510324.0,66.0,180013.0,91.0,224833.0,841.0,19073236.0,463.0,1437088.0,26151,539527479,16746,219949277,9405.0,319578202.0,,,738.0,43946825.0,1459.0,41939820.0,1276.0,33359877.0,493.0,952917.0,5706.0,138.0,,,,
2023-01-20,nation,England,1630.0,20509020.0,78.0,179947.0,111.0,224742.0,1044.0,19072395.0,586.0,1436625.0,33696,539501328,20736,219932531,12960.0,319568797.0,,,453.0,43946087.0,711.0,41938361.0,821.0,33358601.0,447.0,952424.0,5888.0,133.0,,,,
2023-01-19,nation,England,1745.0,20507390.0,101.0,179869.0,142.0,224631.0,1082.0,19071351.0,663.0,1436039.0,38996,539467632,24509,219911795,14487.0,319555837.0,,,355.0,43945634.0,571.0,41937650.0,686.0,33357780.0,618.0,951977.0,5996.0,142.0,,,,
2023-01-18,nation,England,1853.0,20505645.0,97.0,179768.0,132.0,224489.0,1173.0,19070269.0,680.0,1435376.0,40716,539428636,25702,219887286,15014.0,319541350.0,,,308.0,43945279.0,449.0,41937079.0,625.0,33357094.0,595.0,951359.0,6299.0,146.0,,,,
2023-01-17,nation,England,1964.0,20503792.0,118.0,179671.0,160.0,224357.0,1227.0,19069096.0,737.0,1434696.0,43080,539387920,26791,219861584,16289.0,319526336.0,,,352.0,43944971.0,553.0,41936630.0,694.0,33356469.0,565.0,950764.0,6593.0,148.0,,,,
2023-01-16,nation,England,2287.0,20501828.0,132.0,179553.0,175.0,224197.0,1387.0,19067869.0,900.0,1433959.0,43034,539344840,22435,219834793,20599.0,319510047.0,6.7,125488.0,331.0,43944619.0,541.0,41936077.0,616.0,33355775.0,599.0,950199.0,6721.0,153.0,,,,
